day,clouds,rain,temperature,wind
2016-07-23,0.0,,22.0,3.0
2016-07-24,0.0,,21.0,5.0
2016-07-25,42.9,42.9,20.0,5.0
2016-07-26,0.0,,20.0,4.0
2016-07-27,64.5,64.5,20.0,5.0
2016-07-28,0.0,,19.0,3.0
2016-07-29,,100.0,20.0,5.0
2016-07-30,0.0,,20.0,3.0
2016-07-31,,,,
2016-08-01,70.5,70.5,17.0,3.0
2016-08-02,,100.0,19.0,5.0
2016-08-03,0.0,,21.0,7.0
2016-08-04,0.0,,19.0,7.0
2016-08-05,0.0,,20.0,4.0
2016-08-06,0.0,,20.0,4.0
2016-08-07,0.0,,22.0,7.0
2016-08-08,0.0,,18.0,6.0
2016-08-09,0.0,,17.0,4.0
2016-08-10,0.0,,16.0,4.0
2016-08-11,45.5,45.5,19.0,6.0
2016-08-12,0.0,,21.0,6.0
2016-08-13,0.0,,20.0,6.0
2016-08-14,0.0,,19.0,3.0
2016-08-15,0.0,,18.0,4.0
2016-08-16,0.0,,18.0,4.0
2016-08-17,0.0,,19.0,3.0
2016-08-18,0.0,,19.0,4.0
2016-08-19,,,,
2016-08-20,47.6,47.6,18.0,7.0
2016-08-21,,100.0,19.0,7.0
2016-08-22,50.0,50.0,21.0,6.0
2016-08-23,0.0,,23.0,3.0
2016-08-24,0.0,6.7,25.0,2.0
2016-08-25,0.0,,24.0,2.0
2016-08-26,14.299999999999997,14.3,23.0,3.0
2016-08-27,6.700000000000003,6.7,21.0,4.0
2016-08-28,,,,
2016-08-29,0.0,,19.0,2.0
2016-08-30,0.0,,21.0,2.0
2016-08-31,0.0,,20.0,4.0
2016-09-01,0.0,,19.0,4.0
2016-09-02,,,,
2016-09-03,,,,
2016-09-04,28.599999999999994,42.9,19.0,6.0
2016-09-05,51.3,100.0,19.0,3.0
2016-09-06,,,,
2016-09-07,0.0,,23.0,3.0
2016-09-08,0.0,,20.0,5.0
2016-09-09,0.0,,20.0,5.0
2016-09-10,51.1,51.1,19.0,5.0
2016-09-11,0.0,,17.0,3.0
2016-09-12,0.0,,20.0,3.0
2016-09-13,0.0,,25.0,4.0
2016-09-14,0.0,,23.0,3.0
2016-09-15,0.0,,23.0,3.0
2016-09-16,80.0,80.0,17.0,5.0
2016-09-17,,,,
2016-09-18,,,17.0,2.0
2016-09-19,66.7,66.7,18.0,2.0
2016-09-20,82.4,82.4,17.0,2.0
2016-09-21,,,,
2016-09-22,0.0,,17.0,3.0
2016-09-23,,,,
2016-09-24,0.0,,19.0,4.0
2016-09-25,12.5,12.5,18.0,6.0
2016-09-26,0.0,,15.0,3.0
2016-09-27,0.0,,17.0,4.0
2016-09-28,,,,
2016-09-29,58.8,58.8,18.0,7.0
2016-09-30,5.700000000000003,5.7,15.0,5.0
2016-10-01,60.4,64.2,13.0,2.0
2016-10-02,0.0,,13.0,4.0
2016-10-03,0.0,,13.0,2.0
2016-10-04,0.0,,15.0,6.0
2016-10-05,0.0,,14.0,8.0
2016-10-06,,100.0,13.0,5.0
2016-10-07,40.0,40.0,14.0,3.0
2016-10-08,37.1,42.9,14.0,3.0
2016-10-09,0.0,,12.0,3.0
2016-10-10,0.0,,10.0,3.0
2016-10-11,12.5,12.5,11.0,2.0
2016-10-12,80.6,80.6,13.0,4.0
2016-10-13,82.6,82.6,11.0,5.0
2016-10-14,,,,
2016-10-15,34.5,48.3,13.0,2.0
2016-10-16,20.0,33.3,14.0,4.0
2016-10-17,25.0,25.0,14.0,4.0
2016-10-18,16.700000000000003,16.7,12.0,7.0
2016-10-19,0.0,,12.0,5.0
2016-10-20,14.299999999999997,14.3,12.0,4.0
2016-10-21,27.299999999999997,27.3,11.0,4.0
2016-10-22,6.099999999999994,,10.0,2.0
2016-10-23,0.0,,10.0,4.0
2016-10-24,0.0,5.4,12.0,3.0
2016-10-25,0.0,,12.0,1.0
2016-10-26,30.799999999999997,,13.0,3.0
2016-10-27,0.0,,13.0,5.0
2016-10-28,0.0,,15.0,4.0
2016-10-29,0.0,,14.0,1.0
2016-10-30,65.8,,11.0,1.0
2016-10-31,66.7,,13.0,2.0
2016-11-01,40.0,5.0,10.0,2.0
2016-11-02,0.0,,8.0,3.0
2016-11-03,,,,
2016-11-04,49.0,49.0,9.0,3.0
2016-11-05,5.900000000000006,5.9,7.0,5.0
2016-11-06,18.900000000000006,18.9,6.0,5.0
2016-11-07,,,,
2016-11-08,,,,
2016-11-09,97.9,97.9,8.0,5.0
2016-11-10,28.099999999999994,28.1,8.0,5.0
2016-11-11,,,,
2016-11-12,81.5,81.5,9.0,3.0
2016-11-13,0.0,,9.0,2.0
2016-11-14,20.700000000000003,48.3,11.0,4.0
2016-11-15,,100.0,14.0,5.0
2016-11-16,,100.0,13.0,6.0
2016-11-17,43.3,43.3,10.0,6.0
2016-11-18,,,,
2016-11-19,36.8,36.8,6.0,5.0
2016-11-20,,100.0,8.0,6.0
2016-11-21,,,,
2016-11-22,92.9,92.9,10.0,6.0
2016-11-23,0.0,,9.0,3.0
2016-11-24,0.0,,10.0,6.0
2016-11-25,0.0,,8.0,4.0
2016-11-26,0.0,,6.0,2.0
2016-11-27,,,,
2016-11-28,,,,
2016-11-29,0.0,,3.0,2.0
2016-11-30,,,,
2016-12-01,,,,
2016-12-02,,100.0,7.0,2.0
2016-12-03,0.0,,7.0,4.0
2016-12-04,0.0,,5.0,4.0
2016-12-05,,,,
2016-12-06,,,,
2016-12-07,0.0,,12.0,3.0
2016-12-08,0.0,,13.0,5.0
2016-12-09,0.0,,13.0,4.0
2016-12-10,80.0,80.0,12.0,4.0
2016-12-11,0.0,,8.0,4.0
2016-12-12,50.0,21.4,8.0,3.0
2016-12-13,60.0,40.0,12.0,3.0
2016-12-14,0.0,,10.0,3.0
2016-12-15,0.0,,9.0,3.0
2016-12-16,0.0,,10.0,2.0
2016-12-17,65.0,,7.0,2.0
2016-12-18,,,8.0,2.0
2016-12-19,,100.0,7.0,2.0
2016-12-20,0.0,,6.0,3.0
2016-12-21,47.6,47.6,10.0,5.0
2016-12-22,12.299999999999997,,8.0,3.0
2016-12-23,24.400000000000006,19.5,10.0,6.0
2016-12-24,3.4000000000000057,3.4,9.0,7.0
2016-12-25,20.0,20.0,12.0,8.0
2016-12-26,0.0,,9.0,6.0
2016-12-27,0.0,,4.0,2.0
2016-12-28,47.7,11.4,2.0,2.0
2016-12-29,1.5,,4.0,2.0
2016-12-30,100.0,9.4,3.0,2.0
2016-12-31,,,,
2017-01-01,91.2,94.7,7.0,4.0
2017-01-02,0.0,,4.0,3.0
2017-01-03,0.0,,3.0,5.0
2017-01-04,14.0,14.0,6.0,4.0
2017-01-05,0.0,,3.0,1.0
2017-01-06,49.1,49.1,4.0,3.0
2017-01-07,,100.0,9.0,3.0
2017-01-08,,100.0,10.0,2.0
2017-01-09,72.9,72.9,9.0,5.0
2017-01-10,0.0,,7.0,5.0
2017-01-11,0.0,,9.0,7.0
2017-01-12,,,,
2017-01-13,9.400000000000006,6.2,4.0,8.0
2017-01-14,7.099999999999994,7.1,4.0,5.0
2017-01-15,,,,
2017-01-16,64.6,64.6,5.0,2.0
2017-01-17,0.0,,3.0,2.0
2017-01-18,,,,
2017-01-19,0.0,2.2,3.0,2.0
2017-01-20,0.0,2.3,3.0,3.0
2017-01-21,0.0,2.1,1.0,2.0
2017-01-22,9.599999999999994,,1.0,2.0
2017-01-23,50.0,,2.0,2.0
2017-01-24,,,,
2017-01-25,55.2,,2.0,2.0
2017-01-26,0.0,,0.0,5.0
2017-01-27,,,,
2017-01-28,8.299999999999997,20.8,8.0,5.0
2017-01-29,60.3,60.3,8.0,4.0
2017-01-30,,,,
2017-01-31,,94.7,6.0,5.0
2017-02-01,,100.0,11.0,4.0
2017-02-02,56.2,56.2,11.0,6.0
2017-02-03,81.8,81.8,9.0,7.0
2017-02-04,11.900000000000006,11.9,6.0,2.0
2017-02-05,,,,
2017-02-06,,,,
2017-02-07,45.1,37.3,7.0,3.0
2017-02-08,,,4.0,3.0
2017-02-09,,100.0,3.0,4.0
2017-02-10,91.2,85.3,2.0,4.0
2017-02-11,,,,
2017-02-12,,100.0,4.0,6.0
2017-02-13,0.0,,6.0,8.0
2017-02-14,0.0,,7.0,5.0
2017-02-15,23.799999999999997,33.3,10.0,3.0
2017-02-16,4.700000000000003,23.3,9.0,4.0
2017-02-17,,,,
2017-02-18,0.0,,9.0,3.0
2017-02-19,14.799999999999997,14.8,9.0,4.0
2017-02-20,0.0,,13.0,6.0
2017-02-21,50.0,50.0,12.0,7.0
2017-02-22,,100.0,13.0,9.0
2017-02-23,42.9,35.7,10.0,12.0
2017-02-24,0.0,,7.0,5.0
2017-02-25,,,,
2017-02-26,,100.0,11.0,7.0
2017-02-27,73.7,73.7,8.0,6.0
2017-02-28,53.3,53.3,6.0,6.0
2017-03-01,90.9,90.9,8.0,6.0
2017-03-02,0.0,,9.0,8.0
2017-03-03,,,,
2017-03-04,,,,
2017-03-05,64.9,61.4,8.0,7.0
2017-03-06,,,,
2017-03-07,2.700000000000003,2.7,8.0,4.0
2017-03-08,,,,
2017-03-09,0.0,,13.0,5.0
2017-03-10,0.0,,10.0,3.0
2017-03-11,0.0,,13.0,2.0
2017-03-12,28.599999999999994,31.7,12.0,3.0
2017-03-13,3.0,3.0,12.0,4.0
2017-03-14,0.0,,12.0,5.0
2017-03-15,10.900000000000006,,13.0,3.0
2017-03-16,0.0,,12.0,4.0
2017-03-17,24.0,24.0,10.0,8.0
2017-03-18,,100.0,13.0,9.0
2017-03-19,,100.0,14.0,9.0
2017-03-20,57.8,57.8,12.0,8.0
2017-03-21,0.0,,9.0,7.0
2017-03-22,38.2,38.2,8.0,5.0
2017-03-23,28.799999999999997,31.8,9.0,7.0
2017-03-24,,,,
2017-03-25,0.0,,10.0,6.0
2017-03-26,0.0,,10.0,6.0
2017-03-27,0.0,,10.0,4.0
2017-03-28,49.3,7.0,11.0,5.0
2017-03-29,0.0,21.4,14.0,6.0
2017-03-30,0.0,,17.0,4.0
2017-03-31,,,,
2017-04-01,5.599999999999994,5.6,13.0,4.0
2017-04-02,0.0,,12.0,2.0
2017-04-03,0.0,,12.0,1.0
2017-04-04,80.0,80.0,12.0,3.0
2017-04-05,,,,
2017-04-06,0.0,,13.0,2.0
2017-04-07,0.0,,12.0,2.0
2017-04-08,2.0999999999999943,2.1,14.0,2.0
2017-04-09,,,,
2017-04-10,0.0,,12.0,5.0
2017-04-11,0.0,,12.0,4.0
2017-04-12,0.0,,12.0,6.0
2017-04-13,0.0,,11.0,5.0
2017-04-14,42.9,42.9,13.0,5.0
2017-04-15,3.5999999999999943,3.6,12.0,6.0
2017-04-16,14.0,14.0,12.0,6.0
2017-04-17,10.0,10.0,10.0,4.0
2017-04-18,3.0,3.0,9.0,4.0
2017-04-19,0.0,,9.0,3.0
2017-04-20,3.299999999999997,3.3,12.0,4.0
2017-04-21,0.0,,13.0,4.0
2017-04-22,18.799999999999997,18.8,12.0,4.0
2017-04-23,0.0,,12.0,4.0
2017-04-24,21.599999999999994,24.3,11.0,5.0
2017-04-25,0.0,,7.0,5.0
2017-04-26,31.799999999999997,27.3,6.0,4.0
2017-04-27,29.200000000000003,29.2,8.0,4.0
2017-04-28,13.299999999999997,13.3,11.0,3.0
2017-04-29,0.0,,12.0,4.0
2017-04-30,5.299999999999997,11.7,14.0,7.0
2017-05-01,69.2,84.6,11.0,4.0
2017-05-02,14.0,18.6,12.0,3.0
2017-05-03,63.6,63.6,10.0,5.0
2017-05-04,,,11.0,5.0
2017-05-05,11.099999999999994,11.1,11.0,7.0
2017-05-06,0.0,,12.0,5.0
2017-05-07,20.0,20.0,12.0,4.0
2017-05-08,0.0,,10.0,4.0
2017-05-09,0.0,,10.0,3.0
2017-05-10,0.0,,11.0,4.0
2017-05-11,1.0999999999999943,7.6,14.0,5.0
2017-05-12,77.4,80.6,15.0,5.0
2017-05-13,75.0,75.0,15.0,5.0
2017-05-14,6.900000000000006,6.9,17.0,5.0
2017-05-15,44.8,50.7,15.0,5.0
2017-05-16,6.599999999999994,18.0,20.0,5.0
2017-05-17,95.1,100.0,16.0,3.0
2017-05-18,59.3,76.3,13.0,3.0
2017-05-19,70.9,70.9,12.0,4.0
2017-05-20,11.099999999999994,11.1,13.0,5.0
2017-05-21,0.0,,15.0,4.0
2017-05-22,0.0,,18.0,4.0
2017-05-23,0.0,,18.0,4.0
2017-05-24,0.0,,20.0,2.0
2017-05-25,0.0,,20.0,4.0
2017-05-26,0.0,,20.0,6.0
2017-05-27,5.700000000000003,2.9,19.0,5.0
2017-05-28,2.700000000000003,2.7,19.0,3.0
2017-05-29,68.6,80.0,18.0,4.0
2017-05-30,0.0,,18.0,6.0
2017-05-31,0.0,,18.0,3.0
2017-06-01,0.0,,20.0,3.0
2017-06-02,17.599999999999994,8.8,19.0,2.0
2017-06-03,7.700000000000003,7.7,18.0,5.0
2017-06-04,0.0,,16.0,6.0
2017-06-05,60.5,65.8,15.0,6.0
2017-06-06,89.1,89.1,14.0,10.0
2017-06-07,11.099999999999994,24.4,15.0,9.0
2017-06-08,,,,
2017-06-09,26.700000000000003,26.7,17.0,6.0
2017-06-10,2.9000000000000057,5.9,19.0,6.0
2017-06-11,0.0,,19.0,7.0
2017-06-12,0.0,,17.0,7.0
2017-06-13,0.0,,18.0,3.0
2017-06-14,0.0,,20.0,5.0
2017-06-15,0.0,,20.0,6.0
2017-06-16,0.0,,19.0,6.0
2017-06-17,0.0,,24.0,3.0
2017-06-18,0.0,,26.0,3.0
2017-06-19,0.0,,25.0,3.0
2017-06-20,0.0,,23.0,5.0
2017-06-21,0.0,,24.0,5.0
2017-06-22,0.0,,23.0,6.0
2017-06-23,0.0,,20.0,7.0
2017-06-24,80.0,80.0,20.0,6.0
2017-06-25,0.0,,19.0,7.0
2017-06-26,0.0,,19.0,2.0
2017-06-27,,100.0,20.0,3.0
2017-06-28,,100.0,16.0,3.0
2017-06-29,0.0,,16.0,4.0
2017-06-30,14.799999999999997,14.8,19.0,3.0
2017-07-01,11.400000000000006,11.4,18.0,5.0
2017-07-02,3.4000000000000057,3.4,20.0,4.0
2017-07-03,0.0,9.0,20.0,6.0
2017-07-04,0.0,,21.0,3.0
2017-07-05,0.0,,22.0,3.0
2017-07-06,2.4000000000000057,,23.0,5.0
2017-07-07,0.0,,24.0,4.0
2017-07-08,0.0,,22.0,4.0
2017-07-09,0.0,,22.0,3.0
2017-07-10,0.0,,22.0,5.0
2017-07-11,68.4,64.9,17.0,5.0
2017-07-12,46.3,46.3,17.0,4.0
2017-07-13,0.0,2.3,18.0,3.0
2017-07-14,7.400000000000006,7.4,18.0,5.0
2017-07-15,12.799999999999997,12.8,19.0,5.0
2017-07-16,55.6,55.6,22.0,5.0
2017-07-17,0.0,,21.0,4.0
2017-07-18,4.5,2.3,21.0,7.0
2017-07-19,28.599999999999994,28.6,21.0,5.0
2017-07-20,27.599999999999994,27.6,19.0,6.0
2017-07-21,13.0,13.0,18.0,6.0
2017-07-22,,,,
