,average,twitter,news,weather,day
0,0.6666666666666666,1.0,1.0,0.0,2016-07-24
1,0.6666666666666666,1.0,1.0,0.0,2016-07-25
2,1.0,1.0,1.0,1.0,2016-07-26
3,0.6666666666666666,1.0,1.0,0.0,2016-07-27
4,1.0,1.0,1.0,1.0,2016-07-28
5,0.6666666666666666,1.0,1.0,0.0,2016-07-29
6,1.0,1.0,1.0,1.0,2016-07-30
7,1.0,1.0,1.0,1.0,2016-07-31
8,0.8333333333333334,1.0,1.0,0.5,2016-08-01
9,0.6666666666666666,1.0,1.0,0.0,2016-08-02
10,0.6666666666666666,1.0,1.0,0.0,2016-08-03
11,0.5,1.0,0.5,0.0,2016-08-04
12,1.0,1.0,1.0,1.0,2016-08-05
13,1.0,1.0,1.0,1.0,2016-08-06
14,0.6666666666666666,1.0,1.0,0.0,2016-08-07
15,0.6666666666666666,1.0,1.0,0.0,2016-08-08
16,1.0,1.0,1.0,1.0,2016-08-09
17,1.0,1.0,1.0,1.0,2016-08-10
18,0.6666666666666666,1.0,1.0,0.0,2016-08-11
19,0.6666666666666666,1.0,1.0,0.0,2016-08-12
20,0.6666666666666666,1.0,1.0,0.0,2016-08-13
21,1.0,1.0,1.0,1.0,2016-08-14
22,1.0,1.0,1.0,1.0,2016-08-15
23,1.0,1.0,1.0,1.0,2016-08-16
24,1.0,1.0,1.0,1.0,2016-08-17
25,1.0,1.0,1.0,1.0,2016-08-18
26,1.0,1.0,1.0,1.0,2016-08-19
27,0.6666666666666666,1.0,1.0,0.0,2016-08-20
28,0.6666666666666666,1.0,1.0,0.0,2016-08-21
29,0.6666666666666666,1.0,1.0,0.0,2016-08-22
30,1.0,1.0,1.0,1.0,2016-08-23
31,1.0,1.0,1.0,1.0,2016-08-24
32,1.0,1.0,1.0,1.0,2016-08-25
33,1.0,1.0,1.0,1.0,2016-08-26
34,1.0,1.0,1.0,1.0,2016-08-27
35,1.0,1.0,1.0,1.0,2016-08-28
36,1.0,1.0,1.0,1.0,2016-08-29
37,0.6666666666666666,1.0,0.0,1.0,2016-08-30
38,1.0,1.0,1.0,1.0,2016-08-31
39,1.0,1.0,1.0,1.0,2016-09-01
40,1.0,1.0,1.0,1.0,2016-09-02
41,1.0,1.0,1.0,1.0,2016-09-03
42,0.6666666666666666,1.0,1.0,0.0,2016-09-04
43,0.8333333333333334,1.0,1.0,0.5,2016-09-05
44,1.0,1.0,1.0,1.0,2016-09-06
45,1.0,1.0,1.0,1.0,2016-09-07
46,0.6666666666666666,1.0,1.0,0.0,2016-09-08
47,0.6666666666666666,1.0,1.0,0.0,2016-09-09
48,0.6666666666666666,1.0,1.0,0.0,2016-09-10
49,1.0,1.0,1.0,1.0,2016-09-11
50,1.0,1.0,1.0,1.0,2016-09-12
51,1.0,1.0,1.0,1.0,2016-09-13
52,1.0,1.0,1.0,1.0,2016-09-14
53,1.0,1.0,1.0,1.0,2016-09-15
54,0.6666666666666666,1.0,1.0,0.0,2016-09-16
55,1.0,1.0,1.0,1.0,2016-09-17
56,1.0,1.0,1.0,1.0,2016-09-18
57,0.8333333333333334,1.0,1.0,0.5,2016-09-19
58,0.8333333333333334,1.0,1.0,0.5,2016-09-20
59,1.0,1.0,1.0,1.0,2016-09-21
60,1.0,1.0,1.0,1.0,2016-09-22
61,1.0,1.0,1.0,1.0,2016-09-23
62,1.0,1.0,1.0,1.0,2016-09-24
63,0.6666666666666666,1.0,1.0,0.0,2016-09-25
64,0.6666666666666666,1.0,1.0,0.0,2016-09-26
65,1.0,1.0,1.0,1.0,2016-09-27
66,1.0,1.0,1.0,1.0,2016-09-28
67,0.6666666666666666,1.0,1.0,0.0,2016-09-29
68,0.6666666666666666,1.0,1.0,0.0,2016-09-30
69,0.6666666666666666,1.0,1.0,0.0,2016-10-01
70,0.6666666666666666,1.0,1.0,0.0,2016-10-02
71,0.6666666666666666,1.0,1.0,0.0,2016-10-03
72,0.6666666666666666,1.0,1.0,0.0,2016-10-04
73,0.6666666666666666,1.0,1.0,0.0,2016-10-05
74,0.6666666666666666,1.0,1.0,0.0,2016-10-06
75,0.6666666666666666,1.0,1.0,0.0,2016-10-07
76,0.6666666666666666,1.0,1.0,0.0,2016-10-08
77,0.6666666666666666,1.0,1.0,0.0,2016-10-09
78,0.6666666666666666,1.0,1.0,0.0,2016-10-10
79,0.6666666666666666,1.0,1.0,0.0,2016-10-11
80,0.6666666666666666,1.0,1.0,0.0,2016-10-12
81,0.6666666666666666,1.0,1.0,0.0,2016-10-13
82,1.0,1.0,1.0,1.0,2016-10-14
83,0.6666666666666666,1.0,1.0,0.0,2016-10-15
84,0.6666666666666666,1.0,1.0,0.0,2016-10-16
85,0.6666666666666666,1.0,1.0,0.0,2016-10-17
86,0.6666666666666666,1.0,1.0,0.0,2016-10-18
87,0.6666666666666666,1.0,1.0,0.0,2016-10-19
88,0.6666666666666666,1.0,1.0,0.0,2016-10-20
89,0.6666666666666666,1.0,1.0,0.0,2016-10-21
90,0.6666666666666666,1.0,1.0,0.0,2016-10-22
91,0.6666666666666666,1.0,1.0,0.0,2016-10-23
92,0.6666666666666666,1.0,1.0,0.0,2016-10-24
93,0.6666666666666666,1.0,1.0,0.0,2016-10-25
94,0.6666666666666666,1.0,1.0,0.0,2016-10-26
95,0.6666666666666666,1.0,1.0,0.0,2016-10-27
96,0.6666666666666666,1.0,1.0,0.0,2016-10-28
97,0.6666666666666666,1.0,1.0,0.0,2016-10-29
98,0.6666666666666666,1.0,1.0,0.0,2016-10-30
99,0.6666666666666666,1.0,1.0,0.0,2016-10-31
100,0.6666666666666666,1.0,1.0,0.0,2016-11-01
101,0.6666666666666666,1.0,1.0,0.0,2016-11-02
102,1.0,1.0,1.0,1.0,2016-11-03
103,0.6666666666666666,1.0,1.0,0.0,2016-11-04
104,0.6666666666666666,1.0,1.0,0.0,2016-11-05
105,0.6666666666666666,1.0,1.0,0.0,2016-11-06
106,1.0,1.0,1.0,1.0,2016-11-07
107,1.0,1.0,1.0,1.0,2016-11-08
108,0.3333333333333333,0.0,1.0,0.0,2016-11-09
109,0.6666666666666666,1.0,1.0,0.0,2016-11-10
110,1.0,1.0,1.0,1.0,2016-11-11
111,0.6666666666666666,1.0,1.0,0.0,2016-11-12
112,0.6666666666666666,1.0,1.0,0.0,2016-11-13
113,0.6666666666666666,1.0,1.0,0.0,2016-11-14
114,0.6666666666666666,1.0,1.0,0.0,2016-11-15
115,0.6666666666666666,1.0,1.0,0.0,2016-11-16
116,0.6666666666666666,1.0,1.0,0.0,2016-11-17
117,1.0,1.0,1.0,1.0,2016-11-18
118,0.6666666666666666,1.0,1.0,0.0,2016-11-19
119,0.6666666666666666,1.0,1.0,0.0,2016-11-20
120,1.0,1.0,1.0,1.0,2016-11-21
121,0.6666666666666666,1.0,1.0,0.0,2016-11-22
122,0.6666666666666666,1.0,1.0,0.0,2016-11-23
123,0.6666666666666666,1.0,1.0,0.0,2016-11-24
124,0.6666666666666666,1.0,1.0,0.0,2016-11-25
125,0.6666666666666666,1.0,1.0,0.0,2016-11-26
126,1.0,1.0,1.0,1.0,2016-11-27
127,1.0,1.0,1.0,1.0,2016-11-28
128,0.6666666666666666,1.0,1.0,0.0,2016-11-29
129,1.0,1.0,1.0,1.0,2016-11-30
130,1.0,1.0,1.0,1.0,2016-12-01
131,0.6666666666666666,1.0,1.0,0.0,2016-12-02
132,0.6666666666666666,1.0,1.0,0.0,2016-12-03
133,0.6666666666666666,1.0,1.0,0.0,2016-12-04
134,1.0,1.0,1.0,1.0,2016-12-05
135,0.8333333333333334,1.0,0.5,1.0,2016-12-06
136,0.6666666666666666,1.0,1.0,0.0,2016-12-07
137,0.6666666666666666,1.0,1.0,0.0,2016-12-08
138,0.6666666666666666,1.0,1.0,0.0,2016-12-09
139,0.6666666666666666,1.0,1.0,0.0,2016-12-10
140,0.6666666666666666,1.0,1.0,0.0,2016-12-11
141,0.6666666666666666,1.0,1.0,0.0,2016-12-12
142,0.6666666666666666,1.0,1.0,0.0,2016-12-13
143,0.6666666666666666,1.0,1.0,0.0,2016-12-14
144,0.6666666666666666,1.0,1.0,0.0,2016-12-15
145,0.6666666666666666,1.0,1.0,0.0,2016-12-16
146,0.6666666666666666,1.0,1.0,0.0,2016-12-17
147,0.6666666666666666,1.0,1.0,0.0,2016-12-18
148,0.6666666666666666,1.0,1.0,0.0,2016-12-19
149,0.6666666666666666,1.0,1.0,0.0,2016-12-20
150,0.6666666666666666,1.0,1.0,0.0,2016-12-21
151,0.6666666666666666,1.0,1.0,0.0,2016-12-22
152,0.6666666666666666,1.0,1.0,0.0,2016-12-23
153,0.6666666666666666,1.0,1.0,0.0,2016-12-24
154,0.6666666666666666,1.0,1.0,0.0,2016-12-25
155,0.6666666666666666,1.0,1.0,0.0,2016-12-26
156,0.6666666666666666,1.0,1.0,0.0,2016-12-27
157,0.6666666666666666,1.0,1.0,0.0,2016-12-28
158,0.6666666666666666,1.0,1.0,0.0,2016-12-29
159,0.6666666666666666,1.0,1.0,0.0,2016-12-30
160,1.0,1.0,1.0,1.0,2016-12-31
161,0.6666666666666666,1.0,1.0,0.0,2017-01-01
162,0.6666666666666666,1.0,1.0,0.0,2017-01-02
163,0.6666666666666666,1.0,1.0,0.0,2017-01-03
164,0.6666666666666666,1.0,1.0,0.0,2017-01-04
165,0.6666666666666666,1.0,1.0,0.0,2017-01-05
166,0.6666666666666666,1.0,1.0,0.0,2017-01-06
167,0.6666666666666666,1.0,1.0,0.0,2017-01-07
168,0.6666666666666666,1.0,1.0,0.0,2017-01-08
169,0.6666666666666666,1.0,1.0,0.0,2017-01-09
170,0.6666666666666666,1.0,1.0,0.0,2017-01-10
171,0.6666666666666666,1.0,1.0,0.0,2017-01-11
172,1.0,1.0,1.0,1.0,2017-01-12
173,0.6666666666666666,1.0,1.0,0.0,2017-01-13
174,0.6666666666666666,1.0,1.0,0.0,2017-01-14
175,1.0,1.0,1.0,1.0,2017-01-15
176,0.6666666666666666,1.0,1.0,0.0,2017-01-16
177,0.6666666666666666,1.0,1.0,0.0,2017-01-17
178,1.0,1.0,1.0,1.0,2017-01-18
179,0.6666666666666666,1.0,1.0,0.0,2017-01-19
180,0.6666666666666666,1.0,1.0,0.0,2017-01-20
181,0.6666666666666666,1.0,1.0,0.0,2017-01-21
182,0.6666666666666666,1.0,1.0,0.0,2017-01-22
183,0.6666666666666666,1.0,1.0,0.0,2017-01-23
184,1.0,1.0,1.0,1.0,2017-01-24
185,0.6666666666666666,1.0,1.0,0.0,2017-01-25
186,0.6666666666666666,1.0,1.0,0.0,2017-01-26
187,1.0,1.0,1.0,1.0,2017-01-27
188,0.5,0.5,1.0,0.0,2017-01-28
189,0.6666666666666666,1.0,1.0,0.0,2017-01-29
190,1.0,1.0,1.0,1.0,2017-01-30
191,0.6666666666666666,1.0,1.0,0.0,2017-01-31
192,0.6666666666666666,1.0,1.0,0.0,2017-02-01
193,0.6666666666666666,1.0,1.0,0.0,2017-02-02
194,0.6666666666666666,1.0,1.0,0.0,2017-02-03
195,0.6666666666666666,1.0,1.0,0.0,2017-02-04
196,1.0,1.0,1.0,1.0,2017-02-05
197,1.0,1.0,1.0,1.0,2017-02-06
198,0.6666666666666666,1.0,1.0,0.0,2017-02-07
199,0.6666666666666666,1.0,1.0,0.0,2017-02-08
200,0.6666666666666666,1.0,1.0,0.0,2017-02-09
201,0.6666666666666666,1.0,1.0,0.0,2017-02-10
202,1.0,1.0,1.0,1.0,2017-02-11
203,0.6666666666666666,1.0,1.0,0.0,2017-02-12
204,0.6666666666666666,1.0,1.0,0.0,2017-02-13
205,0.6666666666666666,1.0,1.0,0.0,2017-02-14
206,0.6666666666666666,1.0,1.0,0.0,2017-02-15
207,0.6666666666666666,1.0,1.0,0.0,2017-02-16
208,1.0,1.0,1.0,1.0,2017-02-17
209,0.6666666666666666,1.0,1.0,0.0,2017-02-18
210,0.6666666666666666,1.0,1.0,0.0,2017-02-19
211,0.6666666666666666,1.0,1.0,0.0,2017-02-20
212,0.6666666666666666,1.0,1.0,0.0,2017-02-21
213,0.6666666666666666,1.0,1.0,0.0,2017-02-22
214,0.6666666666666666,1.0,1.0,0.0,2017-02-23
215,0.6666666666666666,1.0,1.0,0.0,2017-02-24
216,1.0,1.0,1.0,1.0,2017-02-25
217,0.6666666666666666,1.0,1.0,0.0,2017-02-26
218,0.6666666666666666,1.0,1.0,0.0,2017-02-27
219,0.6666666666666666,1.0,1.0,0.0,2017-02-28
220,0.6666666666666666,1.0,1.0,0.0,2017-03-01
221,0.6666666666666666,1.0,1.0,0.0,2017-03-02
222,1.0,1.0,1.0,1.0,2017-03-03
223,1.0,1.0,1.0,1.0,2017-03-04
224,0.6666666666666666,1.0,1.0,0.0,2017-03-05
225,1.0,1.0,1.0,1.0,2017-03-06
226,0.6666666666666666,1.0,1.0,0.0,2017-03-07
227,1.0,1.0,1.0,1.0,2017-03-08
228,0.6666666666666666,1.0,1.0,0.0,2017-03-09
229,0.6666666666666666,1.0,1.0,0.0,2017-03-10
230,0.6666666666666666,1.0,1.0,0.0,2017-03-11
231,0.6666666666666666,1.0,1.0,0.0,2017-03-12
232,0.6666666666666666,1.0,1.0,0.0,2017-03-13
233,0.6666666666666666,1.0,1.0,0.0,2017-03-14
234,0.6666666666666666,1.0,1.0,0.0,2017-03-15
235,0.6666666666666666,1.0,1.0,0.0,2017-03-16
236,0.6666666666666666,1.0,1.0,0.0,2017-03-17
237,0.6666666666666666,1.0,1.0,0.0,2017-03-18
238,0.6666666666666666,1.0,1.0,0.0,2017-03-19
239,0.6666666666666666,1.0,1.0,0.0,2017-03-20
240,0.6666666666666666,1.0,1.0,0.0,2017-03-21
241,0.6666666666666666,1.0,1.0,0.0,2017-03-22
242,0.6666666666666666,1.0,1.0,0.0,2017-03-23
243,1.0,1.0,1.0,1.0,2017-03-24
244,0.6666666666666666,1.0,1.0,0.0,2017-03-25
245,0.6666666666666666,1.0,1.0,0.0,2017-03-26
246,0.6666666666666666,1.0,1.0,0.0,2017-03-27
247,0.6666666666666666,1.0,1.0,0.0,2017-03-28
248,0.6666666666666666,1.0,1.0,0.0,2017-03-29
249,1.0,1.0,1.0,1.0,2017-03-30
250,1.0,1.0,1.0,1.0,2017-03-31
251,0.6666666666666666,1.0,1.0,0.0,2017-04-01
252,0.6666666666666666,1.0,1.0,0.0,2017-04-02
253,0.6666666666666666,1.0,1.0,0.0,2017-04-03
254,0.6666666666666666,1.0,1.0,0.0,2017-04-04
255,1.0,1.0,1.0,1.0,2017-04-05
256,0.6666666666666666,1.0,1.0,0.0,2017-04-06
257,0.6666666666666666,1.0,1.0,0.0,2017-04-07
258,0.6666666666666666,1.0,1.0,0.0,2017-04-08
259,1.0,1.0,1.0,1.0,2017-04-09
260,0.6666666666666666,1.0,1.0,0.0,2017-04-10
261,0.6666666666666666,1.0,1.0,0.0,2017-04-11
262,0.6666666666666666,1.0,1.0,0.0,2017-04-12
263,0.6666666666666666,1.0,1.0,0.0,2017-04-13
264,0.6666666666666666,1.0,1.0,0.0,2017-04-14
265,0.6666666666666666,1.0,1.0,0.0,2017-04-15
266,0.6666666666666666,1.0,1.0,0.0,2017-04-16
267,0.6666666666666666,1.0,1.0,0.0,2017-04-17
268,0.6666666666666666,1.0,1.0,0.0,2017-04-18
269,0.6666666666666666,1.0,1.0,0.0,2017-04-19
270,0.6666666666666666,1.0,1.0,0.0,2017-04-20
271,0.6666666666666666,1.0,1.0,0.0,2017-04-21
272,0.5,0.5,1.0,0.0,2017-04-22
273,0.5,0.5,1.0,0.0,2017-04-23
274,0.6666666666666666,1.0,1.0,0.0,2017-04-24
275,0.6666666666666666,1.0,1.0,0.0,2017-04-25
276,0.6666666666666666,1.0,1.0,0.0,2017-04-26
277,0.5,1.0,0.5,0.0,2017-04-27
278,0.6666666666666666,1.0,1.0,0.0,2017-04-28
279,0.6666666666666666,1.0,1.0,0.0,2017-04-29
280,0.6666666666666666,1.0,1.0,0.0,2017-04-30
281,0.6666666666666666,1.0,1.0,0.0,2017-05-01
282,0.6666666666666666,1.0,1.0,0.0,2017-05-02
283,0.6666666666666666,1.0,1.0,0.0,2017-05-03
284,0.6666666666666666,1.0,1.0,0.0,2017-05-04
285,0.6666666666666666,1.0,1.0,0.0,2017-05-05
286,0.6666666666666666,1.0,1.0,0.0,2017-05-06
287,0.6666666666666666,1.0,1.0,0.0,2017-05-07
288,0.6666666666666666,1.0,1.0,0.0,2017-05-08
289,0.6666666666666666,1.0,1.0,0.0,2017-05-09
290,0.6666666666666666,1.0,1.0,0.0,2017-05-10
291,0.6666666666666666,1.0,1.0,0.0,2017-05-11
292,0.6666666666666666,1.0,1.0,0.0,2017-05-12
293,0.6666666666666666,1.0,1.0,0.0,2017-05-13
294,0.6666666666666666,1.0,1.0,0.0,2017-05-14
295,0.6666666666666666,1.0,1.0,0.0,2017-05-15
296,0.6666666666666666,1.0,1.0,0.0,2017-05-16
297,0.8333333333333334,1.0,1.0,0.5,2017-05-17
298,0.6666666666666666,1.0,1.0,0.0,2017-05-18
299,0.6666666666666666,1.0,1.0,0.0,2017-05-19
300,0.6666666666666666,1.0,1.0,0.0,2017-05-20
301,0.6666666666666666,1.0,1.0,0.0,2017-05-21
302,1.0,1.0,1.0,1.0,2017-05-22
303,0.3333333333333333,0.0,0.0,1.0,2017-05-23
304,1.0,1.0,1.0,1.0,2017-05-24
305,1.0,1.0,1.0,1.0,2017-05-25
306,0.6666666666666666,1.0,1.0,0.0,2017-05-26
307,0.6666666666666666,1.0,1.0,0.0,2017-05-27
308,1.0,1.0,1.0,1.0,2017-05-28
309,0.8333333333333334,1.0,1.0,0.5,2017-05-29
310,0.6666666666666666,1.0,1.0,0.0,2017-05-30
311,1.0,1.0,1.0,1.0,2017-05-31
312,1.0,1.0,1.0,1.0,2017-06-01
313,1.0,1.0,1.0,1.0,2017-06-02
314,0.6666666666666666,1.0,1.0,0.0,2017-06-03
315,0.3333333333333333,0.5,0.5,0.0,2017-06-04
316,0.3333333333333333,1.0,0.0,0.0,2017-06-05
317,0.5,1.0,0.5,0.0,2017-06-06
318,0.3333333333333333,1.0,0.0,0.0,2017-06-07
319,1.0,1.0,1.0,1.0,2017-06-08
320,0.6666666666666666,1.0,1.0,0.0,2017-06-09
321,0.6666666666666666,1.0,1.0,0.0,2017-06-10
322,0.6666666666666666,1.0,1.0,0.0,2017-06-11
323,0.6666666666666666,1.0,1.0,0.0,2017-06-12
324,1.0,1.0,1.0,1.0,2017-06-13
325,0.5,0.5,1.0,0.0,2017-06-14
326,0.6666666666666666,1.0,1.0,0.0,2017-06-15
327,0.5,1.0,0.5,0.0,2017-06-16
328,1.0,1.0,1.0,1.0,2017-06-17
329,1.0,1.0,1.0,1.0,2017-06-18
330,1.0,1.0,1.0,1.0,2017-06-19
331,0.3333333333333333,1.0,0.0,0.0,2017-06-20
332,0.3333333333333333,1.0,0.0,0.0,2017-06-21
333,0.6666666666666666,1.0,1.0,0.0,2017-06-22
334,0.6666666666666666,1.0,1.0,0.0,2017-06-23
335,0.3333333333333333,1.0,0.0,0.0,2017-06-24
336,0.6666666666666666,1.0,1.0,0.0,2017-06-25
337,1.0,1.0,1.0,1.0,2017-06-26
338,0.8333333333333334,1.0,1.0,0.5,2017-06-27
339,0.6666666666666666,1.0,0.5,0.5,2017-06-28
340,1.0,1.0,1.0,1.0,2017-06-29
341,1.0,1.0,1.0,1.0,2017-06-30
342,0.6666666666666666,1.0,1.0,0.0,2017-07-01
343,1.0,1.0,1.0,1.0,2017-07-02
344,0.6666666666666666,1.0,1.0,0.0,2017-07-03
345,1.0,1.0,1.0,1.0,2017-07-04
346,1.0,1.0,1.0,1.0,2017-07-05
347,0.6666666666666666,1.0,1.0,0.0,2017-07-06
348,1.0,1.0,1.0,1.0,2017-07-07
349,1.0,1.0,1.0,1.0,2017-07-08
350,1.0,1.0,1.0,1.0,2017-07-09
351,0.6666666666666666,1.0,1.0,0.0,2017-07-10
352,0.6666666666666666,1.0,1.0,0.0,2017-07-11
353,1.0,1.0,1.0,1.0,2017-07-12
354,1.0,1.0,1.0,1.0,2017-07-13
355,0.6666666666666666,1.0,1.0,0.0,2017-07-14
356,0.6666666666666666,1.0,1.0,0.0,2017-07-15
357,0.6666666666666666,1.0,1.0,0.0,2017-07-16
358,0.8333333333333334,1.0,0.5,1.0,2017-07-17
359,0.6666666666666666,1.0,1.0,0.0,2017-07-18
360,0.6666666666666666,1.0,1.0,0.0,2017-07-19
361,0.6666666666666666,1.0,1.0,0.0,2017-07-20
362,0.6666666666666666,1.0,1.0,0.0,2017-07-21
363,1.0,1.0,1.0,1.0,2017-07-22
364,1.0,1.0,1.0,1.0,2017-07-23
